Beach,Lat,long
AP,559596.43,4107613.86
APBN,,
APG,559634.06,4107653.25
APGw,559668.16,4107692.64
BBN,559017.92,4108158.72
BBNN,558952.22,4108106.39
BBNS,559187.24,4108151.07
BBS,559608.49,4107722.92
BBSL,559587.62,4107717.92
BBSU,559625.83,4107730.86
BM,559557.93,4107856.38
BMB,559509.72,4107855.64
BMC,559574.68,4107840.8
BMD,559579.09,4107926.78
BMN,559547.49,4107866.23
BMNN,559523.24,4107914.44
BMS,559581.74,4107790.24
FSB,559981.5,4107795.7
LR,559504.1,4108152.8
MBB,559448.57,4107981.61
MBBU,559450.92,4108045.54
NNPG3,558832.4,4108584.8
NP,558828.61,4108244.55
NP0,558812.44,4108367.43
NP1,558780.98,4108469.14
NP2,558782.45,4108534.99
NP2/3,558791.3,4108569.5
NP3,558796.86,4108604.66
NP4,558824.49,4108708.43
NP5,558849.18,4108892.01
NP6,558869.47,4109098.66
NPC,558883.58,4108139.02
NPD,558963.2,4108553.4
NPG,558862.41,4108419.9
NPG0,558879.17,4108369.34
NPG1,558874.76,4108435.63
NPG2,558827.7,4108523.7
NPG2B,558787.7,4108563.7
NPG3,558832.4,4108584.8
NPG4,558907.97,4108682.12
NPGa,558849.18,4108294.82
P1,560110.9,4107920.3
SBE,559731.7,4107664.6
SBEL,559714.02,4107656.78
SBEU,559753.41,4107675.59
SBW,559668.01,4107623.71
TSB,559855.7,4107705.1
TSBE,559905.1,4107732
TSC,559765.8,4107730.4
TSD,559738.1,4107843.9
TSE,559812.8,4107755.1
TSW,559717.5,4107699.8
